Index,API명,제공기관,수정일자,키워드,상세URL,Category,Region
1,영상물등급위원회_영화 등급분류정보 조회 서비스,영상물등급위원회,2025-11-10,"온라인등급분류시스템,영화 정보,영화 등급분류 정보,등급분류,영화",https://www.data.go.kr/data/15127668/openapi.do,문화/관광,전국/기타
2,농촌진흥청 국립농업과학원_농업기상 관측지점 상세정보,농촌진흥청 국립농업과학원,2025-11-10,"기상관측,관측지점,위치정보,위도,경도",https://www.data.go.kr/data/15073274/openapi.do,환경/에너지,전국/기타
3,식품의약품안전처_의약품 낱알식별 정보,식품의약품안전처,2025-11-10,"허가행정성분,행정,성분,의약품,낱알식별",https://www.data.go.kr/data/15057639/openapi.do,보건/식품,전국/기타
4,국민건강보험공단_의사소견서교육이수의료기관검색서비스,국민건강보험공단,2025-11-10,"의사소견서,교육이수,재가시설,API,장기요양기관",https://www.data.go.kr/data/15059011/openapi.do,보건/식품,전국/기타
5,질병관리청_예방접종(대상 감염병 관련) 정보,질병관리청,2025-11-10,"예방접종,감염병,백신,API,보건의료",https://www.data.go.kr/data/15084296/openapi.do,보건/식품,전국/기타
6,한국식품산업클러스터진흥원_교육,한국식품산업클러스터진흥원,2025-11-10,"분야·주제,일정,장소,신청방법,선발기준,비용,수료·인증,대상",https://www.data.go.kr/data/15151831/openapi.do,보건/식품,전국/기타
7,한국식품산업클러스터진흥원_설비,한국식품산업클러스터진흥원,2025-11-10,"장비유형,용량,소재분야,사용요금,예약·가용시간,활용목적,위치	,공정분류",https://www.data.go.kr/data/15151830/openapi.do,보건/식품,전국/기타
8,한국식품산업클러스터진흥원_교육지원서비스_목록,한국식품산업클러스터진흥원,2025-11-10,"교육분야·주제,대상,운영방식,신청기간·일정,비용,정원·모집현황,수료·인증제공,주관기관·담당부서",https://www.data.go.kr/data/15151825/openapi.do,문화/관광,전국/기타
9,한국식품산업클러스터진흥원_일반사업공고_목록,한국식품산업클러스터진흥원,2025-11-10,"장비·시설 이용,R&D 실증,수출,창업·사업화,인력·교육,ESG·업사이클링,보조금,푸드테크",https://www.data.go.kr/data/15151824/openapi.do,보건/식품,전국/기타
10,식품의약품안전처 식품의약품안전평가원_RND_MB_지식재산권 서비스,식품의약품안전처 식품의약품안전평가원,2025-11-10,"시스템,전주기관리,연구개발,지식재산권서비스,연구성과",https://www.data.go.kr/data/15133579/openapi.do,보건/식품,전북
11,문화체육관광부_정책브리핑_정책뉴스_API,문화체육관광부,2025-11-10,"정부,정책,뉴스,브리핑,정보,콘텐츠,카드뉴스,인포그래픽",https://www.data.go.kr/data/15095335/openapi.do,문화/관광,전국/기타
12,문화체육관광부_정책브리핑_포토_API,문화체육관광부,2025-11-10,"행정기관,문화체육관광부,국민소통실,정책,사진,보도자료,홍보,기사",https://www.data.go.kr/data/15095300/openapi.do,문화/관광,전국/기타
13,문화체육관광부_정책브리핑_보도자료_API,문화체육관광부,2025-11-10,"행정기관,보도,언론,정책,정보,정부,공공,자료",https://www.data.go.kr/data/15095295/openapi.do,문화/관광,전국/기타
14,한국식품산업클러스터진흥원_교육지원서비스_상세,한국식품산업클러스터진흥원,2025-11-10,"교육과정,일정·장소,신청방법,비용,평가,수료·인증,자료·교안,대상·자격요건",https://www.data.go.kr/data/15151821/openapi.do,보건/식품,전국/기타
15,한국식품산업클러스터진흥원_일반사업공고_상세,한국식품산업클러스터진흥원,2025-11-10,"지원대상,지원내용,예산,자부담,제출서류,담당부서,평가기준,지원한도",https://www.data.go.kr/data/15151818/openapi.do,금융/경제,전국/기타
16,제주국제자유도시개발센터_JDC면세점 연령별 상품 선호도 정보,제주국제자유도시개발센터,2025-11-10,"면세점,연령,상품,순위,일별,API",https://www.data.go.kr/data/15151709/openapi.do,기타,제주
17,식품의약품안전처 식품의약품안전평가원_RND_MB_저역서실적 서비스,식품의약품안전처 식품의약품안전평가원,2025-11-10,"시스템,전주기관리,연구성과,저역서실적,연구개발",https://www.data.go.kr/data/15133578/openapi.do,보건/식품,전북
18,식품의약품안전처 식품의약품안전평가원_RND_MB_논문 서비스,식품의약품안전처 식품의약품안전평가원,2025-11-10,"시스템,전주기관리,연구개발,논문서비스,연구개발논문",https://www.data.go.kr/data/15134055/openapi.do,보건/식품,전북
19,식품의약품안전처 식품의약품안전평가원_APEC규제조화센터현황,식품의약품안전처 식품의약품안전평가원,2025-11-10,"의료제품 규제교육,규제조화,교육자료 및 프로그램 정보,홍보자료 및 워크숍 안내,국제협력,규제기관 네트워크",https://www.data.go.kr/data/15042667/openapi.do,보건/식품,전국/기타
20,국민건강보험공단_장기요양기관 검색 서비스,국민건강보험공단,2025-11-10,"장기요양기관,입소시설,재가기관,API,검색서비스",https://www.data.go.kr/data/15059029/openapi.do,보건/식품,전국/기타
21,농촌진흥청 국립농업과학원_농작업 안전정보 동영상 조회,농촌진흥청 국립농업과학원,2025-11-10,"농업인안전,농업작업,재해예방,예방운동,농업인건강",https://www.data.go.kr/data/15129372/openapi.do,문화/관광,전국/기타
22,농촌진흥청 국립농업과학원_농업기계 안전 교육홍보 동영상 조회,농촌진흥청 국립농업과학원,2025-11-10,"농업인,농작업,농업기계안전,농기계,안전수칙",https://www.data.go.kr/data/15143456/openapi.do,문화/관광,전국/기타
23,전북개발공사_토지분양공급유형정보조회 서비스,전북개발공사,2025-11-10,"토지분양,필지정보,사업지구,공급유형,계약금액,부동산",https://www.data.go.kr/data/15057827/openapi.do,부동산/주거,전북
24,한국식품산업클러스터진흥원_인증,한국식품산업클러스터진흥원,2025-11-10,"인증종류,기준규격,대상품목,심사평가절차,서류증빙,수수료비용,유효기간갱신,기관지정현",https://www.data.go.kr/data/15151513/openapi.do,보건/식품,전국/기타
25,한국승강기안전공단_건물별승강기운행정보 조회 서비스,한국승강기안전공단,2025-11-10,"엘리베이터,건물,운행정보",https://www.data.go.kr/data/15151292/openapi.do,부동산/주거,전국/기타
26,JSON 서울에너지공사_홈페이지 설문항목 조회,서울에너지공사,2025-11-07,"설문,홈페이지,의견수렴,서비스,의견,수렴,참여,시민",https://www.data.go.kr/data/15151698/openapi.do,금융/경제,서울
27,XML 한국공항공사_김포공항 실내주차장 빈 주차면 실시간 안내 정보,한국공항공사,2025-11-07,"김포공항 국제선 실내주차장,실내주차장 빈 주차면,네비게이션 빈 주차장 안내,공항 주차 가능 여부,공항 주차장 주차면 상태",https://www.data.go.kr/data/15151711/openapi.do,교통/물류,전국/기타
28,XML 전북개발공사_지역별 임대주택 청약 면적 대비 계약 금액 조회 서비스,전북개발공사,2025-11-07,"임대주택,청약,건물,계약금액,임대정보,주거복지",https://www.data.go.kr/data/15131850/openapi.do,부동산/주거,전북
29,XML 전북개발공사_해지세대명단 조회 서비스,전북개발공사,2025-11-07,"임대주택,건물,아파트,임대정보,주택관리,주거복지,공공임대주택",https://www.data.go.kr/data/15105537/openapi.do,부동산/주거,전북
